Constituency,Name,Date
NA-2,amjad ali khan,2024-04-25
NA-5,sahibzada sibghatullah,2024-04-25
NA-6,muhammad bashir khan,2024-04-25
NA-7,mehboob shah,2024-04-25
NA-10,barrister gohar ali khan,2024-04-25
NA-11,amir muqam,2024-04-25
NA-12,muhammad ldrees,2024-04-25
NA-13,prince nawaz allai,2024-04-25
NA-14,sardar muhammad yousaf zaman,2024-04-25
NA-15,shahzada muhammad gushtasap khan,2024-04-25
NA-18,omar ayub khan,2024-04-25
NA-20,shahram khan tarakai,2024-04-25
NA-21,mujahid ali,2024-04-25
NA-22,muhammad atif,2024-04-25
NA-23,ali muhammad khan,2024-04-25
NA-24,malik anwar taj,2024-04-25
NA-26,sajid khan,2024-04-25
NA-27,muhammad lqbal khan,2024-04-25
NA-28,noor alam khan,2024-04-25
NA-30,shandana gulzar khan,2024-04-25
NA-31,sher ali arbab,2024-04-25
NA-32,asif khan,2024-04-25
NA-33,syed shah ahad ali shah,2024-04-25
NA-34,zulfiqar ali,2024-04-25
NA-35,shehryar khan afridi,2024-04-25
NA-36,yousaf khan,2024-04-25
NA-37,hameed hussain,2024-04-25
NA-38,shahid ahmad,2024-04-25
NA-39,moulana nasim ali shah,2024-04-25
NA-40,misbah ud din,2024-04-25
NA-42,zubair khan,2024-04-25
NA-43,dawar khan kundi,2024-04-25
NA-45,fateh ullah khan,2024-04-25
NA-46,anjum aqeel khan,2024-04-25
NA-47,dr.tariq fazal,2024-04-25
NA-49,sheikh aftab ahmed,2024-04-25
NA-51,raja osama sarwar,2024-04-25
NA-52,raja pervez ashraf,2024-04-25
NA-53,qamar ul lslam raja,2024-04-25
NA-54,barrister aqeel malik,2024-04-25
NA-55,lbrar ahmad,2024-04-25
NA-57,danyal,2024-04-25
NA-58,tahir iqbal,2024-04-25
NA-59,sardar ghulam abbas,2024-04-25
NA-60,bilal azhar kayani,2024-04-25
NA-61,farrukh altaf,2024-04-25
NA-62,mohammad ilyas choudhary,2024-04-25
NA-65,choudhary naseer ahmed abbas,2024-04-25
NA-66,mohammed ahmed chattha,2024-04-25
NA-67,aniqa mehdi,2024-04-25
NA-68,haji lmtiaz ahmed choudhry,2024-04-25
NA-72,ali zahid,2024-04-25
NA-73,syeda nosheen lftikhar,2024-04-25
NA-74,muhammad aslam ghumman,2024-04-25
NA-75,anwar ul haq,2024-04-25
NA-77,mahmood bashir virk,2024-04-25
NA-78,muhammad mobeen arif,2024-04-25
NA-79,lhsan ullah virk,2024-04-25
NA-80,shahid usman,2024-04-25
NA-81,bilal ijaz,2024-04-25
NA-82,mukhtar ahmad malik,2024-04-25
NA-83,usama ahmed mela,2024-04-25
NA-84,shafqat abbas,2024-04-25
NA-85,zulfiqar ali bhatti,2024-04-25
NA-86,muhammad miqdad ali khan,2024-04-25
NA-87,malik shakir bashir awan,2024-04-25
NA-88,gul asghar khan,2024-04-25
NA-89,muhammad jamal ahsan khan,2024-04-25
NA-90,umair khan niazi,2024-04-25
NA-91,m. sana ullah khan mastikhel,2024-04-25
NA-93,mehar ghulam muhammad lali,2024-04-25
NA-94,qaiser ahmad sheikh,2024-04-25
NA-100,nisar ahmed,2024-04-25
NA-102,changaze ahmad khan,2024-04-25
NA-103,muhammad ali sarfraz,2024-04-25
NA-106,m. junaid anwar chaudhry,2024-04-25
NA-107,riaz khan fatyana,2024-04-25
NA-108,muhammad mehboob sultan,2024-04-25
NA-109,waqas akram,2024-04-25
NA-110,muhammad ameer sultan,2024-04-25
NA-111,muhammad arshad sahi,2024-04-25
NA-112,shezra mansab ali khan kharal,2024-04-25
NA-113,ahmad atteeq anwer,2024-04-25
NA-116,khurram munawar manj,2024-04-25
NA-121,waseem qadir,2024-04-25
NA-125,muhammad afzal,2024-04-25
NA-127,attaullah tarar,2024-04-25
NA-133,azim uddin zahid,2024-04-25
NA-134,rana muhammad hayat khan,2024-04-25
NA-140,rana lradat sharif khan,2024-04-25
NA-142,usman ali,2024-04-25
NA-144,muhammad raza hayat harraj,2024-04-25
NA-145,muhammad khan daha,2024-04-25
NA-146,zahoor hussain qureshi,2024-04-25
NA-149,malik muhammad aamir dogar,2024-04-25
NA-150,makhdoom zain hussain qureshi,2024-04-25
NA-153,rana muhammad qasim noon,2024-04-25
NA-156,ayesha nazir jatt,2024-04-25
NA-158,begum tehmina daultana,2024-04-25
NA-162,ehsan ul haq bajwa,2024-04-25
NA-163,muhammad ljaz ul haq,2024-04-25
NA-164,mian riaz hussain pirzada,2024-04-25
NA-166,mk syed sami ul hasan gilani,2024-04-25
NA-170,mian ghous muhammad,2024-04-25
NA-171,mumtaz mustafa,2024-04-25
NA-172,javaid lqbal waraich,2024-04-25
NA-176,nawabzada lftikhar ahmed khan babar,2024-04-25
NA-177,muhammad muazzam ali khan jatoi,2024-04-25
NA-179,muhammad shabbir ali qureshi,2024-04-25
NA-180,fiaz hussain,2024-04-25
NA-182,awais haider jakhar,2024-04-25
NA-184,abdul qadir khan,2024-04-25
NA-185,zartaj gul,2024-04-25
NA-189,shamsher ali mazari,2024-04-25
NA-190,aijaz hussain jakhrani,2024-04-25
NA-191,ali jan mazari,2024-04-25
NA-192,mir shabbir ali bijarani,2024-04-25
NA-195,nazir ahmed bhugio,2024-04-25
NA-200,nauman lslam shaikh,2024-04-25
NA-201,syed khursheed ahmed shah,2024-04-25
NA-202,nafisa shah,2024-04-25
NA-205,syed abrar ali shah,2024-04-25
NA-206,zulfiqar ali behan,2024-04-25
NA-208,syed ghulam mustafa shah,2024-04-25
NA-209,shazia marri,2024-04-25
NA-210,salahuddin junejo,2024-04-25
NA-212,mir munawar ali talpur,2024-04-25
NA-214,pir ameer ali shah jeelani,2024-04-25
NA-215,mahesh kumar malani,2024-04-25
NA-216,makhdoom jamil uz zaman,2024-04-25
NA-217,zulfiqar sattar bachani,2024-04-25
NA-218,syed hussain tariq,2024-04-25
NA-219,abdul aleem khan,2024-04-25
NA-220,syed waseem hussain,2024-04-25
NA-221,syed naveed qamar,2024-04-25
NA-222,mir ghulam ali talpur,2024-04-25
NA-223,haji rasool bux chandio,2024-04-25
NA-224,syed ayaz ali shah sheerazi,2024-04-25
NA-225,sadiq ali memon,2024-04-25
NA-227,lrfan ali leghari,2024-04-25
NA-230,syed rafiullah,2024-04-25
NA-232,aasia lshaque siddiqui,2024-04-25
NA-234,muhammad moin aamer pirzada,2024-04-25
NA-235,muhammad lqbal khan,2024-04-25
NA-237,asad alam niazi,2024-04-25
NA-239,sardar nabil ahmed gabol,2024-04-25
NA-241,mirza ikhtiar baig,2024-04-25
NA-242,syed mustufa kamal,2024-04-25
NA-243,abdul qadir patel,2024-04-25
NA-245,syed hafeezuddin,2024-04-25
NA-246,syed amin ul haque,2024-04-25
NA-247,khawaja lzhar ul hassan,2024-04-25
NA-249,ahmed saleem siddiqui,2024-04-25
NA-250,farhan chishti,2024-04-25
NA-253,mian khan bugti,2024-04-25
NA-254,khalid hussain magsi,2024-04-25
NA-255,mir muhammad khan jamali,2024-04-25
NA-258,pullain,2024-04-25
NA-259,malik shah,2024-04-25
NA-260,mohammad usman badini,2024-04-25
NA-262,adil khan bazai,2024-04-25
NA-263,haji jamal shah kakar,2024-04-25
NA-264,nawabzada mir jamal khan raisani,2024-04-25
Reserved Seat,tahira aurangzeb,2024-04-25
Reserved Seat,nuzhat sadiq,2024-04-25
Reserved Seat,shaza fatima khawaja,2024-04-25
Reserved Seat,romina khurshid alam,2024-04-25
Reserved Seat,wajiha qamar,2024-04-25
Reserved Seat,zeb jaffar,2024-04-25
Reserved Seat,kiran imran dar,2024-04-25
