Constituency,Name,Date
NA-201,syed khursheed ahmed shah,2024-05-14
NA-202,nafisa shah,2024-05-14
NA-203,pir syed fazal ali shah jillani,2024-05-14
NA-204,syed javed ali shah jillani,2024-05-14
NA-205,syed abrar ali shah,2024-05-14
NA-206,zulfiqar ali behan,2024-05-14
NA-207,aseefa bhutto zardari,2024-05-14
NA-208,syed ghulam mustafa shah,2024-05-14
NA-209,shazia marri,2024-05-14
NA-210,salahuddin junejo,2024-05-14
NA-211,pir aftab hussain shah jilani,2024-05-14
NA-214,pir ameer ali shah jeelani,2024-05-14
NA-215,mahesh kumar malani,2024-05-14
NA-217,zulfiqar bachani,2024-05-14
NA-218,syed hussain tariq,2024-05-14
NA-219,abdul aleem khan,2024-05-14
NA-220,syed waseem hussain,2024-05-14
NA-221,syed naveed qamar,2024-05-14
NA-222,mir ghulam ali talpur,2024-05-14
NA-223,haji rasool bux chandio,2024-05-14
NA-225,sadiq ali memon,2024-05-14
NA-227,irfan ali leghari,2024-05-14
NA-229,jam abdul karim bijar,2024-05-14
NA-230,syed rafiullah,2024-05-14
NA-231,abdul hakeem baloch,2024-05-14
NA-232,aasia ishaque siddiqui,2024-05-14
NA-233,muhammad jawed hanif khan,2024-05-14
NA-234,muhammad moin aamer pirzada,2024-05-14
NA-235,muhammad lqbal khan,2024-05-14
NA-236,hassaan sabir,2024-05-14
NA-237,asad alam niazi,2024-05-14
NA-238,sadiq lftikhar,2024-05-14
NA-239,sardar nabil ahmed gabol,2024-05-14
NA-240,arshad abdullah vohra,2024-05-14
NA-241,mirza ikhtiar baig,2024-05-14
NA-242,syed mustufa kamal,2024-05-14
NA-243,abdul qadir patel,2024-05-14
NA-244,muhammad farooq sattar,2024-05-14
NA-245,syed hafeezuddin,2024-05-14
NA-246,syed amin ul haque,2024-05-14
NA-247,khawaja izhar ul hassan,2024-05-14
NA-248,khalid maqbool siddiqui,2024-05-14
NA-249,ahmed saleem siddiqui,2024-05-14
NA-250,farhan chishti,2024-05-14
NA-253,mian khan,2024-05-14
NA-254,khalid hussain magsi,2024-05-14
NA-255,mir khan muhammad jamali,2024-05-14
NA-258,pullain,2024-05-14
NA-259,malik shah,2024-05-14
NA-260,muhammad usman badini,2024-05-14
NA-261,moulana abdul ghafoor haideri,2024-05-14
NA-263,haji jamal shah kakar,2024-05-14
NA-266,mehmood khan achakzai,2024-05-14
Reserved seat,tahira aurangzeb,2024-05-14
Reserved seat,shaista pervaiz,2024-05-14
Reserved seat,muneeba iqbal,2024-05-14
Reserved seat,nuzhat sadiq,2024-05-14
Reserved seat,musarrat asif khawaja,2024-05-14
Reserved seat,seema mohi ud din jamili,2024-05-14
Reserved seat,shaza fatima khawaja,2024-05-14
Reserved seat,romina khurshid alam,2024-05-14
Reserved seat,wajiha qamar,2024-05-14
Reserved seat,zeb jaffar,2024-05-14
Reserved seat,kiran imran dar,2024-05-14
Reserved seat,zahra wadood fatemi,2024-05-14
Reserved seat,asiya naz tanoli,2024-05-14
Reserved seat,farah naz akbar,2024-05-14
Reserved seat,shahnaz saleem malik,2024-05-14
Reserved seat,munaza hassan,2024-05-14
Reserved seat,farakh khan,2024-05-14
Reserved seat,sehar kamran,2024-05-14
Reserved seat,sharmila sahiba faruqui hashaam,2024-05-14
Reserved seat,shagufta jumani,2024-05-14
Reserved seat,shahida rehmani,2024-05-14
Reserved seat,syeda shehla raza,2024-05-14
Reserved seat,mahtab akbar rashdi,2024-05-14
Reserved seat,mussarat rafique mahesar,2024-05-14
Reserved seat,mahreen razzaq bhutto,2024-05-14
Reserved seat,shazia sobia aslam soomro,2024-05-14
Reserved seat,sofia saeed shah,2024-05-14
Reserved seat,nikhat shakeel khan,2024-05-14
Reserved seat,sabheen ghoury,2024-05-14
Reserved seat,rana ansar,2024-05-14
Reserved seat,shaista khan,2024-05-14
Reserved seat,izbal zehri,2024-05-14
Reserved seat,kiran haider,2024-05-14
Reserved seat,akhtar bibi,2024-05-14
Reserved seat,aliya kamran,2024-05-14
Reserved seat,kesoo mal kheal das,2024-05-14
Reserved seat,nelson azeem,2024-05-14
Reserved seat,isphanyar m. bhandara,2024-05-14
Reserved seat,ramesh lal,2024-05-14
