Constituency,Name,Date
NA-82,mukhtar ahmad malik,2024-09-05
NA-83,usama ahmed mela,2024-09-05
NA-84,shafqat abbas,2024-09-05
NA-85,zulfiqar ali bhatti,2024-09-05
NA-87,malik shakir bashir awan,2024-09-05
NA-88,gul asghar khan,2024-09-05
NA-89,muhammad jamal ahsan khan,2024-09-05
NA-90,umair khan niazi,2024-09-05
NA-91,m. sana ullah khan mastikhel,2024-09-05
NA-93,ghulam muhammad,2024-09-05
NA-97,mohammad saad ullah,2024-09-05
NA-98,muhammad shahbaz babar,2024-09-05
NA-100,nisar ahmed,2024-09-05
NA-101,rana atif,2024-09-05
NA-102,changaze ahmad khan,2024-09-05
NA-104,sahibzada muhammad hamid raza,2024-09-05
NA-106,m. junaid anwar chaudhry,2024-09-05
NA-109,waqas akram,2024-09-05
NA-111,muhammad arshad sahi,2024-09-05
NA-112,shezra mansab ali khan kharal,2024-09-05
NA-113,ahmad atteeq anwer,2024-09-05
NA-114,rana tanveer hussain,2024-09-05
NA-115,khurram shahzad virk,2024-09-05
NA-117,abdul aleem khan,2024-09-05
NA-119,ali pervaiz,2024-09-05
NA-120,sardar ayaz sadiq,2024-09-05
NA-121,waseem qadir,2024-09-05
NA-122,sardar muhammad latif khan khosa,2024-09-05
NA-124,rana mubashir iqbal,2024-09-05
NA-125,muhammad afzal,2024-09-05
NA-128,mohammad awn saqlain,2024-09-05
NA-132,rasheed ahmed khan,2024-09-05
NA-133,azim uddin zahid,2024-09-05
NA-134,rana muhammad hayat khan,2024-09-05
NA-135,nadeem abbas,2024-09-05
NA-138,muhammad mueen wattoo,2024-09-05
NA-139,ahmad raza maneka,2024-09-05
NA-140,rana iradat sharif khan,2024-09-05
NA-141,syed imran ahmad shah,2024-09-05
NA-143,rai hassan nawaz khan,2024-09-05
NA-144,muhammad raza hayat harraj,2024-09-05
NA-145,muhammad khan daha,2024-09-05
NA-147,choudhary iftikhar nazir,2024-09-05
NA-149,malik muhammad aamir dogar,2024-09-05
NA-150,makhdoom zain hussain qureshi,2024-09-05
NA-151,syed ali musa gilani,2024-09-05
NA-153,rana muhammad qasim noon,2024-09-05
NA-155,khan muhammad saddique khan balooch,2024-09-05
NA-156,ayesha nazir,2024-09-05
NA-157,sajid mehdi,2024-09-05
NA-159,aurangzeb khan khichi,2024-09-05
NA-160,muhammad abdul ghaffar watto,2024-09-05
NA-162,ehsan ul haq bajwa,2024-09-05
NA-163,muhammad ijaz ul haq,2024-09-05
NA-164,mian riaz hussain pirzada,2024-09-05
NA-165,tariq bashir cheema,2024-09-05
NA-167,muhammad usman awaisi,2024-09-05
NA-168,malik muhammad iqbal,2024-09-05
NA-174,muhammad azhar khan leghari,2024-09-05
NA-176,nawabzada iftikhar ahmed khan babar,2024-09-05
NA-178,aamir talal khan,2024-09-05
NA-179,muhammad shabbir ali qureshi,2024-09-05
NA-182,awais haider jakhar,2024-09-05
NA-183,khawaja sheraz mehmood,2024-09-05
NA-184,abdul qadir khan,2024-09-05
NA-188,hafeez ur rehman khan drishak,2024-09-05
NA-189,shamsher ali mazari,2024-09-05
NA-191,ali jan mazari,2024-09-05
NA-195,nazir ahmed bhugio,2024-09-05
NA-196,khurshed ahmed junejo,2024-09-05
NA-202,nafisa shah,2024-09-05
NA-206,zulfiqar ali behan,2024-09-05
NA-207,aseefa bhutto zardari,2024-09-05
NA-210,salahuddin junejo,2024-09-05
NA-211,pir aftab hussain shah jilani,2024-09-05
NA-212,mir munawar ali talpur,2024-09-05
NA-217,zulfiqar bachani,2024-09-05
NA-218,syed hussain tariq,2024-09-05
NA-219,abdul aleem khan,2024-09-05
NA-220,syed waseem hussain,2024-09-05
NA-221,syed naveed qamar,2024-09-05
NA-222,mir ghulam ali talpur,2024-09-05
NA-223,haji rasool bux chandio,2024-09-05
NA-225,sadiq ali memon,2024-09-05
NA-227,lrfan ali leghari,2024-09-05
NA-229,jam abdul karim bijar,2024-09-05
NA-230,syed rafiullah,2024-09-05
NA-231,abdul hakeem baloch,2024-09-05
NA-232,aasia ishaque siddiqui,2024-09-05
NA-233,muhammad jawed hanif khan,2024-09-05
NA-234,muhammad moin aamer pirzada,2024-09-05
NA-235,muhammad iqbal khan (NA-235),2024-09-05
NA-236,hassaan sabir,2024-09-05
NA-237,asad alam niazi,2024-09-05
NA-239,sardar nabil ahmed gabol,2024-09-05
NA-241,mirza ikhtiar baig,2024-09-05
NA-242,syed mustufa kamal,2024-09-05
NA-243,abdul qadir patel,2024-09-05
NA-245,syed hafeezuddin,2024-09-05
NA-246,syed amin ul haque,2024-09-05
NA-249,ahmed saleem siddiqui,2024-09-05
NA-250,farhan chishti,2024-09-05
NA-251,sayed sami ullah,2024-09-05
NA-252,sardar muhammad yaqoob khan nasir,2024-09-05
NA-253,mian khan,2024-09-05
NA-254,khalid hussain magsi,2024-09-05
NA-255,mir khan muhammad jamali,2024-09-05
NA-257,jam kamal khan,2024-09-05
NA-258,pullain,2024-09-05
NA-260,muhammad usman badini,2024-09-05
NA-262,adil khan bazai,2024-09-05
NA-263,haji jamal shah kakar,2024-09-05
NA-264,nawabzada mir jamal khan raisani,2024-09-05
NA-266,mehmood khan achakzai,2024-09-05
Reserved Seat,tahira aurangzeb,2024-09-05
Reserved Seat,shaista pervaiz,2024-09-05
Reserved Seat,nuzhat sadiq,2024-09-05
Reserved Seat,musarrat asif khawaja,2024-09-05
Reserved Seat,romina khurshid alam,2024-09-05
Reserved Seat,wajiha qamar,2024-09-05
Reserved Seat,zeb jaffar,2024-09-05
Reserved Seat,kiran imran dar,2024-09-05
Reserved Seat,zahra wadood fatemi,2024-09-05
Reserved Seat,asiya naz tanoli,2024-09-05
Reserved Seat,saba sadiq,2024-09-05
Reserved Seat,farah naz akbar,2024-09-05
Reserved Seat,farakh khan,2024-09-05
Reserved Seat,sehar kamran,2024-09-05
Reserved Seat,sharmila sahiba faruqui hashaam,2024-09-05
Reserved Seat,shagufta jumani,2024-09-05
Reserved Seat,shahida rehmani,2024-09-05
Reserved Seat,syeda shehla raza,2024-09-05
Reserved Seat,mahtab akbar rashdi,2024-09-05
Reserved Seat,mussarat rafique mahesar,2024-09-05
Reserved Seat,mahreen razzaq bhutto,2024-09-05
Reserved Seat,shazia sobia aslam soomro,2024-09-05
Reserved Seat,sofia saeed shah,2024-09-05
Reserved Seat,nikhat shakeel khan,2024-09-05
Reserved Seat,sabheen ghoury,2024-09-05
Reserved Seat,rana ansar,2024-09-05
Reserved Seat,shaista khan,2024-09-05
Reserved Seat,shahida begum,2024-09-05
Reserved Seat,izbal zehri,2024-09-05
Reserved Seat,kiran haider,2024-09-05
Reserved Seat,akhtar bibi,2024-09-05
Reserved Seat,aliya kamran,2024-09-05
Reserved Seat,kesoo mal kheal das,2024-09-05
Reserved Seat,darshan,2024-09-05
Reserved Seat,nelson azeem,2024-09-05
Reserved Seat,ramesh lal,2024-09-05
Reserved Seat,naveed aamir,2024-09-05
Reserved Seat,mohan manjehani,2024-09-05
