Constituency,Name,Date
NA-2,amjad ali khan,2024-08-06
NA-3,saleem rehman,2024-08-06
NA-4,sohail sultan,2024-08-06
NA-5,sahibzada sibghatullah,2024-08-06
NA-6,muhammad bashir khan,2024-08-06
NA-7,mehboob shah,2024-08-06
NA-9,junaid akbar,2024-08-06
NA-10,gohar ali khan,2024-08-06
NA-11,amir muqam,2024-08-06
NA-12,muhammad idrees,2024-08-06
NA-13,muhammad nawaz khan,2024-08-06
NA-14,sardar muhammad yousaf zaman,2024-08-06
NA-15,shahzada muhammad gushtasap khan,2024-08-06
NA-16,ali asghar khan,2024-08-06
NA-17,ali khan jadoon,2024-08-06
NA-22,muhammad atif,2024-08-06
NA-23,ali muhammad,2024-08-06
NA-24,anwar taj,2024-08-06
NA-26,sajid khan,2024-08-06
NA-29,arbab amir ayub,2024-08-06
NA-30,shandana gulzar khan,2024-08-06
NA-31,sher ali arbab,2024-08-06
NA-35,shehryar afridi,2024-08-06
NA-36,yousaf khan,2024-08-06
NA-37,hameed hussain,2024-08-06
NA-38,shahid ahmad,2024-08-06
NA-39,nasim ali shah,2024-08-06
NA-43,dawar khan kundi,2024-08-06
NA-45,fateh ullah khan,2024-08-06
NA-46,anjum aqeel khan,2024-08-06
NA-47,tariq fazal,2024-08-06
NA-48,raja khurram shahzad nawaz,2024-08-06
NA-49,sheikh aftab ahmed,2024-08-06
NA-50,malik sohail khan,2024-08-06
NA-52,raja pervez ashraf,2024-08-06
NA-54,aqeel malik,2024-08-06
NA-55,ibrar ahmad,2024-08-06
NA-57,danyal,2024-08-06
NA-58,tahir iqbal,2024-08-06
NA-59,sardar ghulam abbas,2024-08-06
NA-60,bilal azhar kayani,2024-08-06
NA-62,mohammad ilyas choudhary,2024-08-06
NA-65,chudhary naseer ahmed abbas,2024-08-06
NA-67,aniqa mehdi,2024-08-06
NA-70,armghan subhani,2024-08-06
NA-71,khawaja muhammad asif,2024-08-06
NA-72,ali zahid,2024-08-06
NA-73,syeda nosheen iftikhar,2024-08-06
NA-74,muhammad aslam ghumman,2024-08-06
NA-75,anwar ul haq,2024-08-06
NA-76,ahsan iqbal,2024-08-06
NA-77,mahmood bashir virk,2024-08-06
NA-79,ihsan ullah virk,2024-08-06
NA-80,shahid usman,2024-08-06
NA-82,mukhtar ahmad malik,2024-08-06
NA-84,shafqat abbas,2024-08-06
NA-85,zulfiqar ali bhatti,2024-08-06
NA-86,muhammad miqdad ali khan,2024-08-06
NA-87,malik shakir bashir awan,2024-08-06
NA-89,muhammad jamal ahsan khan,2024-08-06
NA-90,umair khan niazi,2024-08-06
NA-92,rashid akbar khan,2024-08-06
NA-93,ghulam muhammad,2024-08-06
NA-94,qaiser ahmad sheikh,2024-08-06
NA-95,ali afzal sahi,2024-08-06
NA-97,mohammad saad ullah,2024-08-06
NA-100Mr.,nisar ahmed,2024-08-06
NA-101Rana,atif,2024-08-06
NA-102Mr.,changaze ahmad khan,2024-08-06
NA-103Mr.,muhammad ali sarfraz,2024-08-06
NA-104Sahibzada,muhammad hamid raza,2024-08-06
NA-105Mr.,usama hamza,2024-08-06
NA-106Mr.,m. junaid anwar chaudhry,2024-08-06
NA-109Mr.,waqas akram,2024-08-06
NA-111Mr.,muhammad arshad sahi,2024-08-06
NA-112Ms.,shezra mansab ali khan kharal,2024-08-06
NA-114Rana,tanveer hussain,2024-08-06
NA-115Mr.,khurram shahzad virk,2024-08-06
NA-116Mr.,khurram munawar manj,2024-08-06
NA-119Mr.,ali pervaiz,2024-08-06
NA-120Sardar,ayaz sadiq,2024-08-06
NA-121Mr.,waseem qadir,2024-08-06
NA-122Sardar,muhammad latif khan khosa,2024-08-06
NA-124Rana,mubashir iqbal,2024-08-06
NA-128Mr.,mohammad awn saqlain,2024-08-06
NA-131Mr.,saad waseem,2024-08-06
NA-132Mr.,rasheed ahmed khan,2024-08-06
NA-133Mr.,azim uddin zahid,2024-08-06
NA-134Rana,muhammad hayat khan,2024-08-06
NA-135Mr.,nadeem abbas,2024-08-06
NA-139Mr.,ahmad raza maneka,2024-08-06
NA-140Rana,iradat sharif khan,2024-08-06
NA-142Mr.,usman ali,2024-08-06
NA-144Mr.,muhammad raza hayat harraj,2024-08-06
NA-145Mr.,muhammad khan daha,2024-08-06
NA-147Choudhary,iftikhar nazir,2024-08-06
NA-148Syed,ali qasim gillani,2024-08-06
NA-149Malik,muhammad aamir dogar,2024-08-06
NA-153Rana,muhammad qasim noon,2024-08-06
NA-154Rana,muhammad faraz noon,2024-08-06
NA-156Ms.,ayesha nazir,2024-08-06
NA-157Mr.,sajid mehdi,2024-08-06
NA-159Mr.,aurangzeb khan khichi,2024-08-06
NA-160Mr.,muhammad abdul ghaffar watto,2024-08-06
NA-163Mr.,muhammad ijaz ul haq,2024-08-06
NA-164Mian,riaz hussain pirzada,2024-08-06
NA-165Chaudhry,tariq bashir cheema,2024-08-06
NA-166Mk,syed sami ul hasan gilani,2024-08-06
NA-167Mr.,muhammad usman awaisi,2024-08-06
NA-168Malik,muhammad iqbal,2024-08-06
NA-169Syed,murtaza mahmud,2024-08-06
NA-172Mr.,javaid iqbal,2024-08-06
NA-174Mr.,muhammad azhar khan leghari,2024-08-06
NA-175Mr.,jamshaid ahmad,2024-08-06
NA-176Nawabzada,iftikhar ahmed khan babar,2024-08-06
NA-179Mr.,muhammad shabbir ali qureshi,2024-08-06
NA-180Mr.,fiaz hussain,2024-08-06
NA-183Khawaja,sheraz mehmood,2024-08-06
NA-184Mr.,abdul qadir khan,2024-08-06
NA-185Ms.,zartaj gul,2024-08-06
NA-188Mr.,hafeez ur rehman khan drishak,2024-08-06
NA-190Mr.,aijaz hussain jakhrani,2024-08-06
NA-191Mr.,ali jan mazari,2024-08-06
NA-193Mr.,muhammad shahryar khan mahar,2024-08-06
NA-195Mr.,nazir ahmed bhugio,2024-08-06
NA-196Mr.,khurshed ahmed junejo,2024-08-06
NA-197Mir,amir ali khan magsi,2024-08-06
NA-199Mr.,ali gohar khan mahar,2024-08-06
NA-200Mr.,nauman lslam shaikh,2024-08-06
NA-201Syed,khursheed ahmed shah,2024-08-06
NA-202Dr.,nafisa shah,2024-08-06
NA-204Syed,javed ali shah jillani,2024-08-06
NA-206Mr.,zulfiqar ali behan,2024-08-06
NA-207Ms.,aseefa bhutto zardari,2024-08-06
NA-208Syed,ghulam mustafa shah,2024-08-06
NA-209Ms.,shazia marri,2024-08-06
NA-210Mr.,salahuddin junejo,2024-08-06
NA-211Pir,aftab hussain shah jilani,2024-08-06
NA-212Mir,munawar ali talpur,2024-08-06
NA-213Nawab,muhammad yousuf talpur,2024-08-06
NA-214Pir,ameer ali shah jeelani,2024-08-06
NA-215Dr.,mahesh kumar malani,2024-08-06
NA-217Mr.,zulfiqar bachani,2024-08-06
NA-218Syed,hussain tariq,2024-08-06
NA-219Mr.,abdul aleem khan,2024-08-06
NA-220Syed,waseem hussain,2024-08-06
NA-221Syed,naveed qamar,2024-08-06
NA-222Mir,ghulam ali talpur,2024-08-06
NA-223Haji,rasool bux chandio,2024-08-06
NA-224Syed,ayaz ali shah sheerazi,2024-08-06
NA-225Mr.,sadiq ali memon,2024-08-06
NA-226Malik,asad sikandar,2024-08-06
NA-227Mr.,lrfan ali leghari,2024-08-06
NA-228Mr.,rafiq ahmed jamali,2024-08-06
NA-229Jam,abdul karim bijar,2024-08-06
NA-230Syed,rafiullah,2024-08-06
NA-231Mr.,abdul hakeem baloch,2024-08-06
NA-232Ms.,aasia ishaque siddiqui,2024-08-06
NA-233Mr.,muhammad jawed hanif khan,2024-08-06
NA-234Mr.,muhammad moin aamer pirzada,2024-08-06
NA-237Mr.,asad alam niazi,2024-08-06
NA-238Mr.,sadiq iftikhar,2024-08-06
NA-239Sardar,nabil ahmed gabol,2024-08-06
NA-240Mr.,arshad abdullah vohra,2024-08-06
NA-241Mirza,ikhtiar baig,2024-08-06
NA-243Mr.,abdul qadir patel,2024-08-06
NA-244Mr.,muhammad farooq sattar,2024-08-06
NA-245Syed,hafeezuddin,2024-08-06
NA-246Syed,amin ul haque,2024-08-06
NA-249Mr.,ahmed saleem siddiqui,2024-08-06
NA-250Mr.,farhan chishti,2024-08-06
NA-254Mr.,khalid hussain magsi,2024-08-06
NA-255Mir,khan muhammad jamali,2024-08-06
NA-258Mr.,pullain,2024-08-06
NA-259Mr.,malik shah,2024-08-06
NA-260Mr.,muhammad usman badini,2024-08-06
NA-261Moulana,abdul ghafoor haideri,2024-08-06
NA-263Haji,jamal shah kakar,2024-08-06
NA-264Nawabzada,mir jamal khan raisani,2024-08-06
NA-266Mr.,mehmood khan achakzai,2024-08-06
Reserved SeatMs.,tahira aurangzeb,2024-08-06
Reserved SeatMs.,shaista pervaiz,2024-08-06
Reserved SeatMs.,nuzhat sadiq,2024-08-06
Reserved SeatMs.,seema mohi ud din jamili,2024-08-06
Reserved SeatMs.,romina khurshid alam,2024-08-06
Reserved SeatMs.,wajiha qamar,2024-08-06
Reserved SeatMs.,zeb jaffar,2024-08-06
Reserved SeatMs.,kiran imran dar,2024-08-06
Reserved SeatMs.,zainab mehmood baloch,2024-08-06
Reserved SeatMs.,zahra wadood fatemi,2024-08-06
Reserved SeatMs.,asiya naz tanoli,2024-08-06
Reserved SeatMs.,farah naz akbar,2024-08-06
Reserved SeatMs.,shahnaz saleem malik,2024-08-06
Reserved SeatMs.,hina rabbani khar,2024-08-06
Reserved SeatMs.,munaza hassan,2024-08-06
Reserved SeatMs.,sehar kamran,2024-08-06
Reserved SeatMs.,sharmila sahiba faruqui hashaam,2024-08-06
Reserved SeatMs.,shagufta jumani,2024-08-06
Reserved SeatMs.,shahida rehmani,2024-08-06
Reserved SeatSyeda,shehla raza,2024-08-06
Reserved SeatMs.,mahtab akbar rashdi,2024-08-06
Reserved SeatMs.,mussarat rafique mahesar,2024-08-06
Reserved SeatDr.,mahreen razzaq bhutto,2024-08-06
Reserved SeatDr.,shazia sobia aslam soomro,2024-08-06
Reserved SeatMs.,naz baloch,2024-08-06
Reserved SeatMs.,sofia saeed shah,2024-08-06
Reserved SeatMs.,nikhat shakeel khan,2024-08-06
Reserved SeatMs.,sabheen ghoury,2024-08-06
Reserved SeatMs.,rana ansar,2024-08-06
Reserved SeatMs.,shaista khan,2024-08-06
Reserved SeatMs.,shahida begum,2024-08-06
Reserved SeatMs.,kiran haider,2024-08-06
Reserved SeatMs.,akhtar bibi,2024-08-06
Reserved SeatMr.,kesoo mal kheal das,2024-08-06
Reserved SeatMr.,darshan,2024-08-06
Reserved SeatMr.,ramesh lal,2024-08-06
Reserved SeatMr.,naveed aamir,2024-08-06
