Constituency,Name,Date
NA-205,syed abrar ali shah,2024-04-18
NA-206,zulfiqar ali behan,2024-04-18
NA-207,asefa bhutto zardari,2024-04-18
NA-208,syed ghulam mustafa shah,2024-04-18
NA-209,shazia marri,2024-04-18
NA-210,salahuddin junejo,2024-04-18
NA-211,pir aftab hussain shah jilani,2024-04-18
NA-212,mir munawar ali talpur,2024-04-18
NA-214,pir ameer ali shah jeelani,2024-04-18
NA-215,mahesh kumar malani,2024-04-18
NA-216,makhdoom jamil uz zaman,2024-04-18
NA-217,zulfiqar sattar bachani,2024-04-18
NA-218,syed hussain tariq,2024-04-18
NA-219,abdul aleem khan,2024-04-18
NA-220,syed waseem hussain,2024-04-18
NA-222,mir ghulam ali talpur,2024-04-18
NA-223,haji rasool bux chandio,2024-04-18
NA-225,sadiq ali memon,2024-04-18
NA-226,malik asad sikandar,2024-04-18
NA-227,lrfan ali leghari,2024-04-18
NA-228,rafiq ahmed jamali,2024-04-18
NA-229,jam abdul karim bijar,2024-04-18
NA-230,syed rafiullah,2024-04-18
NA-231,abdul hakeem balo,2024-04-18
NA-232,aasia lshaque siddiqui,2024-04-18
NA-233,muhammad jawed hanif khan,2024-04-18
NA-234,muhammad moin aamer pirzada,2024-04-18
NA-235,muhammad lqbal khan,2024-04-18
NA-236,hassaan sabir,2024-04-18
NA-237,asad alam niazi,2024-04-18
NA-239,sardar nabil ahmed gabol,2024-04-18
NA-240,arshad abdullah vohra,2024-04-18
NA-241,mirza ikhtiar baig,2024-04-18
NA-243,abdul qadir patel,2024-04-18
NA-245,syed hafeezuddin,2024-04-18
NA-246,syed amin ul haque,2024-04-18
NA-248,khalid maqbool siddiqui,2024-04-18
NA-249,ahmed saleem siddiqui,2024-04-18
NA-251,sayed sami ullah,2024-04-18
NA-253,mian khan bugti,2024-04-18
NA-254,khalid hussain magsi,2024-04-18
NA-255,mir muhammad khan jamali,2024-04-18
NA-258,pullain,2024-04-18
NA-259,malik shah,2024-04-18
NA-260,mohammad usman badini,2024-04-18
NA-261,moulana abdul ghafoor haideri,2024-04-18
NA-262,adil khan bazai,2024-04-18
NA-263,haji jamal shah kakar,2024-04-18
NA-264,nawabzada mir jamal khan raisani,2024-04-18
NA-266,mehmood khan achakzai,2024-04-18
Reserved Seat,tahira aurangzeb,2024-04-18
Reserved Seat,muneeba iqbal,2024-04-18
Reserved Seat,nuzhat sadiq,2024-04-18
Reserved Seat,musarrat asif khawaja,2024-04-18
Reserved Seat,seema mohi ud din jamili,2024-04-18
Reserved Seat,romina khurshid alam,2024-04-18
Reserved Seat,zeb jaffar,2024-04-18
Reserved Seat,kiran imran dar,2024-04-18
Reserved Seat,zahra wadood fatemi,2024-04-18
Reserved Seat,asia naz tanoli,2024-04-18
Reserved Seat,farah naz akbar,2024-04-18
Reserved Seat,shahnaz saleem malik,2024-04-18
Reserved Seat,tamkeen akhtar niazi,2024-04-18
