Constituency,Name,Date
NA-121,waseem qadir,2024-06-20
NA-124,rana mubashir iqbal,2024-06-20
NA-126,malik saif ul malook khokhar,2024-06-20
NA-127,attaullah tarar,2024-06-20
NA-128,mohammad awn saqlain,2024-06-20
NA-132,rasheed ahmed khan,2024-06-20
NA-133,azim uddin zahid,2024-06-20
NA-134,rana muhammad hayat khan,2024-06-20
NA-138,muhammad mueen wattoo,2024-06-20
NA-139,ahmad raza maneka,2024-06-20
NA-140,rana iradat sharif khan,2024-06-20
NA-141,syed imran ahmad shah,2024-06-20
NA-143,rai hassan nawaz khan,2024-06-20
NA-145,muhammad khan daha,2024-06-20
NA-149,malik muhammad aamir dogar,2024-06-20
NA-150,makhdoom zain hussain qureshi,2024-06-20
NA-152,syed abdul qadir gilani,2024-06-20
NA-157,sajid mehdi,2024-06-20
NA-164,mian riaz hussain pirzada,2024-06-20
NA-166,mk syed sami ul hasan gilani,2024-06-20
NA-168,malik muhammad iqbal,2024-06-20
NA-174,muhammad azhar khan leghari,2024-06-20
NA-175,jamshaid ahmad,2024-06-20
NA-176,nawabzada iftikhar ahmed khan babar,2024-06-20
NA-180,fiaz hussain,2024-06-20
NA-182,awais haider jakhar,2024-06-20
NA-185,zartaj gul,2024-06-20
NA-186,sardar awais ahmad khan leghari,2024-06-20
NA-187,ammar ahmad khan leghari,2024-06-20
NA-189,shamsher ali mazari,2024-06-20
NA-190,aijaz hussain jakhrani,2024-06-20
NA-192,mir shabbir ali bijarani,2024-06-20
NA-203,pir syed fazal ali shah jillani,2024-06-20
NA-208,syed ghulam mustafa shah,2024-06-20
NA-210,salahuddin junejo,2024-06-20
NA-211,pir aftab hussain shah jilani,2024-06-20
NA-213,nawab muhammad yousuf talpur,2024-06-20
NA-215,mahesh kumar malani,2024-06-20
NA-217,zulfiqar bachani,2024-06-20
NA-218,syed hussain tariq,2024-06-20
NA-220,syed waseem hussain,2024-06-20
NA-222,mir ghulam ali talpur,2024-06-20
NA-225,sadiq ali memon,2024-06-20
NA-229,jam abdul karim bijar,2024-06-20
NA-230,syed rafiullah,2024-06-20
NA-231,abdul hakeem baloch,2024-06-20
NA-232,aasia ishaque siddiqui,2024-06-20
NA-235,muhammad iqbal khan (NA-235),2024-06-20
NA-237,asad alam niazi,2024-06-20
NA-240,arshad abdullah vohra,2024-06-20
NA-241,mirza ikhtiar baig,2024-06-20
NA-242,syed mustufa kamal,2024-06-20
NA-243,abdul qadir patel,2024-06-20
NA-244,muhammad farooq sattar,2024-06-20
NA-249,ahmed saleem siddiqui,2024-06-20
NA-250,farhan chishti,2024-06-20
NA-253,mian khan,2024-06-20
NA-254,khalid hussain magsi,2024-06-20
NA-255,mir khan muhammad jamali,2024-06-20
NA-263,haji jamal shah kakar,2024-06-20
Reserved Seat,tahira aurangzeb,2024-06-20
Reserved Seat,shaista pervaiz,2024-06-20
Reserved Seat,muneeba iqbal,2024-06-20
Reserved Seat,nuzhat sadiq,2024-06-20
Reserved Seat,seema mohi ud din jamili,2024-06-20
Reserved Seat,shaza fatima khawaja,2024-06-20
Reserved Seat,romina khurshid alam,2024-06-20
Reserved Seat,wajiha qamar,2024-06-20
Reserved Seat,zeb jaffar,2024-06-20
