Constituency,Name,Date
NA-249,ahmed saleem siddiqui,2024-04-19
NA-250,farhan chishti,2024-04-19
NA-251,sayed sami ullah,2024-04-19
NA-253,mian khan bugti,2024-04-19
NA-254,khalid hussain magsi,2024-04-19
NA-255,mir muhammad khan jamali,2024-04-19
NA-258,pullain,2024-04-19
NA-263,haji jamal shah kakar,2024-04-19
NA-264,nawabzada mir jamal khan raisani,2024-04-19
Reserved Seat,tahira aurangzeb,2024-04-19
Reserved Seat,muneeba iqbal,2024-04-19
Reserved Seat,nuzhat sadiq,2024-04-19
Reserved Seat,musarrat asif khawaja,2024-04-19
Reserved Seat,seema mohi ud din jamili,2024-04-19
Reserved Seat,romina khurshid alam,2024-04-19
Reserved Seat,zeb jaffar,2024-04-19
Reserved Seat,kiran imran dar,2024-04-19
Reserved Seat,zahra wadood fatemi,2024-04-19
Reserved Seat,asia naz tanoli,2024-04-19
Reserved Seat,farah naz akbar,2024-04-19
Reserved Seat,shahnaz saleem malik,2024-04-19
Reserved Seat,tamkeen akhtar niazi,2024-04-19
Reserved Seat,saira tarar,2024-04-19
Reserved Seat,huma akhtar chughtai,2024-04-19
Reserved Seat,mah jabeen khan abbasi,2024-04-19
Reserved Seat,gulnaz shahzadi,2024-04-19
Reserved Seat,shamaila rana,2024-04-19
Reserved Seat,shazia farid,2024-04-19
Reserved Seat,syeda amnah batool,2024-04-19
Reserved Seat,samina khalid ghurki,2024-04-19
Reserved Seat,nishasta daultana,2024-04-19
Reserved Seat,farukh khan,2024-04-19
Reserved Seat,sehar kamran,2024-04-19
Reserved Seat,sharmila sahiba faruqui hashaam,2024-04-19
Reserved Seat,shagufta jumani,2024-04-19
Reserved Seat,shahida rehmani,2024-04-19
Reserved Seat,syeda shehla raza,2024-04-19
Reserved Seat,mahtab akbar rashdi,2024-04-19
Reserved Seat,mussarat,2024-04-19
Reserved Seat,mahreen razzaq bhutto,2024-04-19
Reserved Seat,shazia sobia aslam,2024-04-19
Reserved Seat,naz baloch,2024-04-19
Reserved Seat,sofia saeed shah,2024-04-19
Reserved Seat,nikhat shakeel khan,2024-04-19
Reserved Seat,sabheen ghoury,2024-04-19
Reserved Seat,rana ansar,2024-04-19
Reserved Seat,ghazala anjum,2024-04-19
Reserved Seat,shaheen,2024-04-19
Reserved Seat,naeema kishwar khan,2024-04-19
Reserved Seat,sadaf ihsan,2024-04-19
Reserved Seat,asma alamgir,2024-04-19
Reserved Seat,naeema kanwal,2024-04-19
Reserved Seat,shaista khan,2024-04-19
Reserved Seat,shahida begum,2024-04-19
Reserved Seat,kiran haider,2024-04-19
Reserved Seat,akhtar bibi,2024-04-19
Reserved Seat,aliya kamran,2024-04-19
Reserved Seat,kesoo mal kheal das,2024-04-19
Reserved Seat,darshan,2024-04-19
Reserved Seat,nelson azeem,2024-04-19
Reserved Seat,isphanyar m bhandara,2024-04-19
Reserved Seat,neelum,2024-04-19
Reserved Seat,james iqbal,2024-04-19
Reserved Seat,ramesh lal,2024-04-19
Reserved Seat,naveed aamir jeeva,2024-04-19
