Constituency,Name,Date
NA-227,lrfan ali leghari,2024-04-24
NA-228,rafiq ahmed jamali,2024-04-24
NA-229,jam abdul karim bijar,2024-04-24
NA-230,syed rafiullah,2024-04-24
NA-232,aasia lshaque siddiqui,2024-04-24
NA-234,muhammad moin aamer pirzada,2024-04-24
NA-237,asad alam niazi,2024-04-24
NA-239,sardar nabil ahmed gabol,2024-04-24
NA-241,mirza ikhtiar baig,2024-04-24
NA-242,syed mustufa kamal,2024-04-24
NA-243,abdul qadir patel,2024-04-24
NA-245,syed hafeezuddin,2024-04-24
NA-246,syed amin ul haque,2024-04-24
NA-247,khawaja lzhar ul hassan,2024-04-24
NA-249,ahmed saleem siddiqui,2024-04-24
NA-250,farhan chishti,2024-04-24
NA-253,mian khan bugti,2024-04-24
NA-254,khalid hussain magsi,2024-04-24
NA-255,mir muhammad khan jamali,2024-04-24
NA-258,pullain,2024-04-24
NA-259,malik shah,2024-04-24
NA-260,mohammad usman badini,2024-04-24
NA-262,adil khan bazai,2024-04-24
NA-263,haji jamal shah kakar,2024-04-24
NA-264,nawabzada mir jamal khan raisani,2024-04-24
NA-266,mehmood khan achakzai,2024-04-24
Reserved Seat,tahira aurangzeb,2024-04-24
Reserved Seat,nuzhat sadiq,2024-04-24
Reserved Seat,musarrat asif khawaja,2024-04-24
Reserved Seat,wajiha qamar,2024-04-24
Reserved Seat,zeb jaffar,2024-04-24
Reserved Seat,kiran imran dar,2024-04-24
Reserved Seat,zahra wadood fatemi,2024-04-24
Reserved Seat,asia naz tanoli,2024-04-24
Reserved Seat,farah naz akbar,2024-04-24
Reserved Seat,shahnaz saleem malik,2024-04-24
Reserved Seat,tamkeen akhtar niazi,2024-04-24
Reserved Seat,huma akhtar chughtai,2024-04-24
Reserved Seat,mah jabeen khan abbasi,2024-04-24
Reserved Seat,gulnaz shahzadi,2024-04-24
Reserved Seat,shamaila rana,2024-04-24
Reserved Seat,shazia farid,2024-04-24
Reserved Seat,syeda amnah batool,2024-04-24
Reserved Seat,rabia naseem farooqui,2024-04-24
