Constituency,Name,Date
NA-154,abdul rehman khan kanju,2024-09-02
NA-155,khan muhammad saddique khan balooch,2024-09-02
NA-156,ayesha nazir,2024-09-02
NA-158,begum tehmina daultana,2024-09-02
NA-159,aurangzeb khan khichi,2024-09-02
NA-162,ehsan ul haq bajwa,2024-09-02
NA-163,muhammad ijaz ul haq,2024-09-02
NA-164,mian riaz hussain pirzada,2024-09-02
NA-166,mk syed sami ul hasan gilani,2024-09-02
NA-167,muhammad usman awaisi,2024-09-02
NA-168,malik muhammad iqbal,2024-09-02
NA-174,muhammad azhar khan leghari,2024-09-02
NA-176,nawabzada iftikhar ahmed khan babar,2024-09-02
NA-178,aamir talal khan,2024-09-02
NA-179,muhammad shabbir ali qureshi,2024-09-02
NA-182,awais haider jakhar,2024-09-02
NA-183,khawaja sheraz mehmood,2024-09-02
NA-184,abdul qadir khan,2024-09-02
NA-187,ammar ahmad khan leghari,2024-09-02
NA-188,hafeez ur rehman khan drishak,2024-09-02
NA-189,shamsher ali mazari,2024-09-02
NA-191,ali jan mazari,2024-09-02
NA-192,mir shabbir ali bijarani,2024-09-02
NA-193,muhammad shahryar khan mahar,2024-09-02
NA-195,nazir ahmed bhugio,2024-09-02
NA-196,khurshed ahmed junejo,2024-09-02
NA-201,syed khursheed ahmed shah,2024-09-02
NA-210,salahuddin junejo,2024-09-02
NA-211,pir aftab hussain shah jilani,2024-09-02
NA-213,nawab muhammad yousuf talpur,2024-09-02
NA-214,pir ameer ali shah jeelani,2024-09-02
NA-215,mahesh kumar malani,2024-09-02
NA-217,zulfiqar bachani,2024-09-02
NA-219,abdul aleem khan,2024-09-02
NA-221,syed naveed qamar,2024-09-02
NA-222,mir ghulam ali talpur,2024-09-02
NA-223,haji rasool bux chandio,2024-09-02
NA-225,sadiq ali memon,2024-09-02
NA-227,lrfan ali leghari,2024-09-02
NA-228,rafiq ahmed jamali,2024-09-02
NA-229,jam abdul karim bijar,2024-09-02
NA-230,syed rafiullah,2024-09-02
NA-232,aasia ishaque siddiqui,2024-09-02
NA-233,muhammad jawed hanif khan,2024-09-02
NA-236,hassaan sabir,2024-09-02
NA-237,asad alam niazi,2024-09-02
NA-238,sadiq iftikhar,2024-09-02
NA-239,sardar nabil ahmed gabol,2024-09-02
NA-240,arshad abdullah vohra,2024-09-02
NA-241,mirza ikhtiar baig,2024-09-02
NA-243,abdul qadir patel,2024-09-02
NA-244,muhammad farooq sattar,2024-09-02
NA-245,syed hafeezuddin,2024-09-02
NA-246,syed amin ul haque,2024-09-02
NA-248,khalid maqbool siddiqui,2024-09-02
NA-249,ahmed saleem siddiqui,2024-09-02
NA-250,farhan chishti,2024-09-02
NA-251,sayed sami ullah,2024-09-02
NA-252,sardar muhammad yaqoob khan nasir,2024-09-02
NA-254,khalid hussain magsi,2024-09-02
NA-255,mir khan muhammad jamali,2024-09-02
NA-257,jam kamal khan,2024-09-02
NA-258,pullain,2024-09-02
NA-260,muhammad usman badini,2024-09-02
NA-261,moulana abdul ghafoor haideri,2024-09-02
NA-262,adil khan bazai,2024-09-02
NA-263,haji jamal shah kakar,2024-09-02
NA-264,nawabzada mir jamal khan raisani,2024-09-02
NA-266,mehmood khan achakzai,2024-09-02
Reserved Seat,tahira aurangzeb,2024-09-02
Reserved Seat,shaista pervaiz,2024-09-02
Reserved Seat,nuzhat sadiq,2024-09-02
Reserved Seat,musarrat asif khawaja,2024-09-02
Reserved Seat,seema mohi ud din jamili,2024-09-02
Reserved Seat,shaza fatima khawaja,2024-09-02
Reserved Seat,romina khurshid alam,2024-09-02
Reserved Seat,wajiha qamar,2024-09-02
Reserved Seat,zeb jaffar,2024-09-02
Reserved Seat,kiran imran dar,2024-09-02
Reserved Seat,zahra wadood fatemi,2024-09-02
Reserved Seat,asiya naz tanoli,2024-09-02
Reserved Seat,saba sadiq,2024-09-02
Reserved Seat,farah naz akbar,2024-09-02
Reserved Seat,shahnaz saleem malik,2024-09-02
Reserved Seat,farakh khan,2024-09-02
Reserved Seat,sehar kamran,2024-09-02
Reserved Seat,sharmila sahiba faruqui hashaam,2024-09-02
Reserved Seat,shahida rehmani,2024-09-02
Reserved Seat,syeda shehla raza,2024-09-02
Reserved Seat,mahtab akbar rashdi,2024-09-02
Reserved Seat,shazia sobia aslam soomro,2024-09-02
Reserved Seat,sofia saeed shah,2024-09-02
Reserved Seat,nikhat shakeel khan,2024-09-02
Reserved Seat,sabheen ghoury,2024-09-02
Reserved Seat,rana ansar,2024-09-02
Reserved Seat,shaista khan,2024-09-02
Reserved Seat,shahida begum,2024-09-02
Reserved Seat,izbal zehri,2024-09-02
Reserved Seat,kiran haider,2024-09-02
Reserved Seat,akhtar bibi,2024-09-02
Reserved Seat,aliya kamran,2024-09-02
Reserved Seat,kesoo mal kheal das,2024-09-02
Reserved Seat,darshan,2024-09-02
Reserved Seat,nelson azeem,2024-09-02
Reserved Seat,naveed aamir,2024-09-02
Reserved Seat,mohan manjehyani,2024-09-02
