Constituency,Name,Date
NA-266,mehmood khan achakzai,2024-08-27
Reserved Seat,tahira aurangzeb,2024-08-27
Reserved Seat,nuzhat sadiq,2024-08-27
Reserved Seat,musarrat asif khawaja,2024-08-27
Reserved Seat,wajiha qamar,2024-08-27
Reserved Seat,zeb jaffar,2024-08-27
Reserved Seat,kiran imran dar,2024-08-27
Reserved Seat,asiya naz tanoli,2024-08-27
Reserved Seat,saba sadiq,2024-08-27
Reserved Seat,farah naz akbar,2024-08-27
Reserved Seat,shahnaz saleem malik,2024-08-27
Reserved Seat,sehar kamran,2024-08-27
Reserved Seat,sharmila sahiba faruqui hashaam,2024-08-27
Reserved Seat,shagufta jumani,2024-08-27
Reserved Seat,shahida rehmani,2024-08-27
Reserved Seat,syeda shehla raza,2024-08-27
Reserved Seat,mahtab akbar rashdi,2024-08-27
Reserved Seat,mussarat rafique mahesar,2024-08-27
Reserved Seat,mahreen razzaq bhutto,2024-08-27
Reserved Seat,shazia sobia aslam soomro,2024-08-27
Reserved Seat,nikhat shakeel khan,2024-08-27
Reserved Seat,rana ansar,2024-08-27
Reserved Seat,shaista khan,2024-08-27
Reserved Seat,shahida begum,2024-08-27
Reserved Seat,izbal zehri,2024-08-27
Reserved Seat,kiran haider,2024-08-27
Reserved Seat,akhtar bibi,2024-08-27
Reserved Seat,aliya kamran,2024-08-27
Reserved Seat,darshan,2024-08-27
Reserved Seat,nelson azeem,2024-08-27
Reserved Seat,ramesh lal,2024-08-27
