Constituency,Name,Date
Reserved Seat,zeb jaffar,2024-09-06
Reserved Seat,kiran imran dar,2024-09-06
Reserved Seat,zainab mehmood baloch,2024-09-06
Reserved Seat,zahra wadood fatemi,2024-09-06
Reserved Seat,asiya naz tanoli,2024-09-06
Reserved Seat,saba sadiq,2024-09-06
Reserved Seat,farah naz akbar,2024-09-06
Reserved Seat,shahnaz saleem malik,2024-09-06
Reserved Seat,farakh khan,2024-09-06
Reserved Seat,sehar kamran,2024-09-06
Reserved Seat,shagufta jumani,2024-09-06
Reserved Seat,shahida rehmani,2024-09-06
Reserved Seat,syeda shehla raza,2024-09-06
Reserved Seat,mahtab akbar rashdi,2024-09-06
Reserved Seat,mussarat rafique mahesar,2024-09-06
Reserved Seat,mahreen razzaq bhutto,2024-09-06
Reserved Seat,nikhat shakeel khan,2024-09-06
Reserved Seat,sabheen ghoury,2024-09-06
Reserved Seat,rana ansar,2024-09-06
Reserved Seat,shaista khan,2024-09-06
Reserved Seat,shahida begum,2024-09-06
Reserved Seat,kiran haider,2024-09-06
Reserved Seat,akhtar bibi,2024-09-06
Reserved Seat,aliya kamran,2024-09-06
Reserved Seat,kesoo mal kheal das,2024-09-06
Reserved Seat,nelson azeem,2024-09-06
Reserved Seat,isphanyar m. bhandara,2024-09-06
Reserved Seat,ramesh lal,2024-09-06
Reserved Seat,naveed aamir,2024-09-06
Reserved Seat,mohan manjehani,2024-09-06
