Constituency,Name,Date
NA-200Mr.,nauman lslam shaikh,2024-08-05
NA-201Syed,khursheed ahmed shah,2024-08-05
NA-202Dr.,nafisa shah,2024-08-05
NA-204Syed,javed ali shah jillani,2024-08-05
NA-206Mr.,zulfiqar ali behan,2024-08-05
NA-207Ms.,aseefa bhutto zardari,2024-08-05
NA-208Syed,ghulam mustafa shah,2024-08-05
NA-209Ms.,shazia marri,2024-08-05
NA-210Mr.,salahuddin junejo,2024-08-05
NA-211Pir,aftab hussain shah jilani,2024-08-05
NA-212Mir,munawar ali talpur,2024-08-05
NA-213Nawab,muhammad yousuf talpur,2024-08-05
NA-214Pir,ameer ali shah jeelani,2024-08-05
NA-215Dr.,mahesh kumar malani,2024-08-05
NA-217Mr.,zulfiqar bachani,2024-08-05
NA-218Syed,hussain tariq,2024-08-05
NA-219Mr.,abdul aleem khan,2024-08-05
NA-220Syed,waseem hussain,2024-08-05
NA-221Syed,naveed qamar,2024-08-05
NA-222Mir,ghulam ali talpur,2024-08-05
NA-223Haji,rasool bux chandio,2024-08-05
NA-224Syed,ayaz ali shah sheerazi,2024-08-05
NA-225Mr.,sadiq ali memon,2024-08-05
NA-226Malik,asad sikandar,2024-08-05
NA-227Mr.,lrfan ali leghari,2024-08-05
NA-228Mr.,rafiq ahmed jamali,2024-08-05
NA-229Jam,abdul karim bijar,2024-08-05
NA-230Syed,rafiullah,2024-08-05
NA-231Mr.,abdul hakeem baloch,2024-08-05
NA-232Ms.,aasia ishaque siddiqui,2024-08-05
NA-233Mr.,muhammad jawed hanif khan,2024-08-05
NA-237Mr.,asad alam niazi,2024-08-05
NA-238Mr.,sadiq iftikhar,2024-08-05
NA-239Sardar,nabil ahmed gabol,2024-08-05
NA-240Mr.,arshad abdullah vohra,2024-08-05
NA-241Mirza,ikhtiar baig,2024-08-05
NA-242Syed,mustufa kamal,2024-08-05
NA-243Mr.,abdul qadir patel,2024-08-05
NA-245Syed,hafeezuddin,2024-08-05
NA-246Syed,amin ul haque,2024-08-05
NA-247Khawaja,izhar ul hassan,2024-08-05
NA-249Mr.,ahmed saleem siddiqui,2024-08-05
NA-254Mr.,khalid hussain magsi,2024-08-05
NA-255Mir,khan muhammad jamali,2024-08-05
NA-258Mr.,pullain,2024-08-05
NA-259Mr.,malik shah,2024-08-05
NA-263Haji,jamal shah kakar,2024-08-05
NA-264Nawabzada,mir jamal khan raisani,2024-08-05
NA-266Mr.,mehmood khan achakzai,2024-08-05
Reserved SeatMs.,tahira aurangzeb,2024-08-05
Reserved SeatMs.,shaista pervaiz,2024-08-05
Reserved SeatMs.,nuzhat sadiq,2024-08-05
Reserved SeatMs.,seema mohi ud din jamili,2024-08-05
Reserved SeatMs.,romina khurshid alam,2024-08-05
Reserved SeatMs.,wajiha qamar,2024-08-05
Reserved SeatMs.,zeb jaffar,2024-08-05
Reserved SeatMs.,kiran imran dar,2024-08-05
Reserved SeatMs.,zainab mehmood baloch,2024-08-05
Reserved SeatMs.,zahra wadood fatemi,2024-08-05
Reserved SeatMs.,asiya naz tanoli,2024-08-05
Reserved SeatMs.,farah naz akbar,2024-08-05
Reserved SeatMs.,shahnaz saleem malik,2024-08-05
Reserved SeatMs.,hina rabbani khar,2024-08-05
Reserved SeatMs.,munaza hassan,2024-08-05
Reserved SeatMs.,sehar kamran,2024-08-05
Reserved SeatMs.,sharmila sahiba faruqui hashaam,2024-08-05
Reserved SeatMs.,shagufta jumani,2024-08-05
Reserved SeatMs.,shahida rehmani,2024-08-05
Reserved SeatSyeda,shehla raza,2024-08-05
Reserved SeatMs.,mahtab akbar rashdi,2024-08-05
Reserved SeatMs.,mussarat rafique mahesar,2024-08-05
Reserved SeatDr.,mahreen razzaq bhutto,2024-08-05
Reserved SeatDr.,shazia sobia aslam soomro,2024-08-05
Reserved SeatMs.,naz baloch,2024-08-05
Reserved SeatMs.,sofia saeed shah,2024-08-05
Reserved SeatMs.,nikhat shakeel khan,2024-08-05
Reserved SeatMs.,sabheen ghoury,2024-08-05
Reserved SeatMs.,rana ansar,2024-08-05
Reserved SeatMs.,shaista khan,2024-08-05
Reserved SeatMs.,shahida begum,2024-08-05
Reserved SeatMs.,kiran haider,2024-08-05
Reserved SeatMs.,akhtar bibi,2024-08-05
Reserved SeatMr.,kesoo mal kheal das,2024-08-05
Reserved SeatMr.,darshan,2024-08-05
Reserved SeatMr.,ramesh lal,2024-08-05
Reserved SeatMr.,naveed aamir,2024-08-05
