Constituency,Name,Date
NA-92,rashid akbar khan,2024-06-12
NA-94,qaiser ahmad sheikh,2024-06-12
NA-95,ali afzal sahi,2024-06-12
NA-97,mohammad saad ullah,2024-06-12
NA-98,muhammad shahbaz babar,2024-06-12
NA-99,umar farooq,2024-06-12
NA-100,nisar ahmed,2024-06-12
NA-101,rana atif,2024-06-12
NA-102,changaze ahmad khan,2024-06-12
NA-103,muhammad ali sarfraz,2024-06-12
NA-104,sahibzada muhammad hamid raza,2024-06-12
NA-105,usama hamza,2024-06-12
NA-106,m. junaid anwar chaudhry,2024-06-12
NA-107,mohammad riaz khan,2024-06-12
NA-108,muhammad mahbob sultan,2024-06-12
NA-109,waqas akram,2024-06-12
NA-110,muhammad ameer sultan,2024-06-12
NA-111,muhammad arshad sahi,2024-06-12
NA-112,shezra mansab ali khan kharal,2024-06-12
NA-113,ahmad atteeq anwer,2024-06-12
NA-114,rana tanveer hussain,2024-06-12
NA-115,khurram shahzad virk,2024-06-12
NA-116,khurram munawar manj,2024-06-12
NA-119,ali pervaiz,2024-06-12
NA-120,sardar ayaz sadiq,2024-06-12
NA-121,waseem qadir,2024-06-12
NA-122,sardar muhammad latif khan khosa,2024-06-12
NA-123,mian muhammad shehbaz sharif,2024-06-12
NA-124,rana mubashir iqbal,2024-06-12
NA-125,muhammad afzal,2024-06-12
NA-126,malik saif ul malook khokhar,2024-06-12
NA-127,attaullah tarar,2024-06-12
NA-128,mohammad awn saqlain,2024-06-12
NA-129,mian muhammad azhar,2024-06-12
NA-132,rasheed ahmed khan,2024-06-12
NA-133,azim uddin zahid,2024-06-12
NA-134,rana muhammad hayat khan,2024-06-12
NA-135,nadeem abbas,2024-06-12
NA-136,riaz ul haq,2024-06-12
NA-137,syed raza ali gillani,2024-06-12
NA-138,muhammad mueen wattoo,2024-06-12
NA-139,ahmad raza maneka,2024-06-12
NA-140,rana iradat sharif khan,2024-06-12
NA-141,syed imran ahmad shah,2024-06-12
NA-142,usman ali,2024-06-12
NA-143,rai hassan nawaz khan,2024-06-12
NA-144,muhammad raza hayat harraj,2024-06-12
NA-145,muhammad khan daha,2024-06-12
NA-146,zahoor hussain qureshi,2024-06-12
NA-147,choudhary iftikhar nazir,2024-06-12
NA-149,malik muhammad aamir dogar,2024-06-12
NA-153,rana muhammad qasim noon,2024-06-12
NA-154,rana muhammad faraz noon,2024-06-12
NA-156,ayesha nazir,2024-06-12
NA-157,sajid mehdi,2024-06-12
NA-158,begum tehmina daultana,2024-06-12
NA-159,aurangzeb khan khichi,2024-06-12
NA-161,alam dad laleka,2024-06-12
NA-163,muhammad ijaz ul haq,2024-06-12
NA-164,mian riaz hussain pirzada,2024-06-12
NA-165,tariq bashir cheema,2024-06-12
NA-166,mk syed sami ul hasan gilani,2024-06-12
NA-167,muhammad usman awaisi,2024-06-12
NA-168,malik muhammad iqbal,2024-06-12
NA-170,mian ghous muhammad,2024-06-12
NA-172,javaid iqbal,2024-06-12
NA-174,muhammad azhar khan leghari,2024-06-12
NA-175,jamshaid ahmad,2024-06-12
NA-177,muhammad moazzam ali khan,2024-06-12
NA-178,aamir talal khan,2024-06-12
NA-179,muhammad shabbir ali qureshi,2024-06-12
NA-180,fiaz hussain,2024-06-12
NA-182,awais haider jakhar,2024-06-12
NA-183,khawaja sheraz mehmood,2024-06-12
NA-184,abdul qadir khan,2024-06-12
NA-185,zartaj gul,2024-06-12
NA-186,sardar awais ahmad khan leghari,2024-06-12
NA-187,ammar ahmad khan leghari,2024-06-12
NA-188,hafeez ur rehman khan drishak,2024-06-12
NA-189,shamsher ali mazari,2024-06-12
NA-190,aijaz hussain jakhrani,2024-06-12
NA-200,nauman lslam shaikh,2024-06-12
NA-201,syed khursheed ahmed shah,2024-06-12
NA-213,nawab muhammad yousuf talpur,2024-06-12
NA-220,syed waseem hussain,2024-06-12
NA-221,syed naveed qamar,2024-06-12
NA-224,syed ayaz ali shah sheerazi,2024-06-12
NA-232,aasia ishaque siddiqui,2024-06-12
NA-233,muhammad jawed hanif khan,2024-06-12
NA-234,muhammad moin aamer pirzada,2024-06-12
NA-235,muhammad iqbal khan (NA-235),2024-06-12
NA-236,hassaan sabir,2024-06-12
NA-240,arshad abdullah vohra,2024-06-12
NA-242,syed mustufa kamal,2024-06-12
NA-244,muhammad farooq sattar,2024-06-12
NA-245,syed hafeezuddin,2024-06-12
NA-247,khawaja izhar ul hassan,2024-06-12
NA-248,khalid maqbool siddiqui,2024-06-12
NA-249,ahmed saleem siddiqui,2024-06-12
NA-250,farhan chishti,2024-06-12
NA-251,sayed sami ullah,2024-06-12
NA-252,sardar muhammad yaqoob khan nasir,2024-06-12
NA-253,mian khan,2024-06-12
NA-254,khalid hussain magsi,2024-06-12
NA-255,mir khan muhammad jamali,2024-06-12
NA-258,pullain,2024-06-12
NA-260,muhammad usman badini,2024-06-12
NA-263,haji jamal shah kakar,2024-06-12
NA-266,mehmood khan achakzai,2024-06-12
Reserved Seat,tahira aurangzeb,2024-06-12
Reserved Seat,shaista pervaiz,2024-06-12
Reserved Seat,muneeba iqbal,2024-06-12
Reserved Seat,nuzhat sadiq,2024-06-12
Reserved Seat,seema mohi ud din jamili,2024-06-12
Reserved Seat,shaza fatima khawaja,2024-06-12
Reserved Seat,romina khurshid alam,2024-06-12
Reserved Seat,wajiha qamar,2024-06-12
Reserved Seat,kiran imran dar,2024-06-12
Reserved Seat,zainab mehmood baloch,2024-06-12
Reserved Seat,zahra wadood fatemi,2024-06-12
Reserved Seat,asiya naz tanoli,2024-06-12
Reserved Seat,saba sadiq,2024-06-12
Reserved Seat,farah naz akbar,2024-06-12
Reserved Seat,shahnaz saleem malik,2024-06-12
Reserved Seat,munaza hassan,2024-06-12
Reserved Seat,farakh khan,2024-06-12
Reserved Seat,sehar kamran,2024-06-12
Reserved Seat,sofia saeed shah,2024-06-12
Reserved Seat,nikhat shakeel khan,2024-06-12
Reserved Seat,sabheen ghoury,2024-06-12
Reserved Seat,rana ansar,2024-06-12
Reserved Seat,shaista khan,2024-06-12
Reserved Seat,shahida begum,2024-06-12
Reserved Seat,kiran haider,2024-06-12
Reserved Seat,akhtar bibi,2024-06-12
Reserved Seat,aliya kamran,2024-06-12
Reserved Seat,kesoo mal kheal das,2024-06-12
Reserved Seat,darshan,2024-06-12
Reserved Seat,nelson azeem,2024-06-12
Reserved Seat,isphanyar m. bhandara,2024-06-12
Reserved Seat,naveed aamir,2024-06-12
