Constituency,Name,Date
NA-134,rana muhammad hayat khan,2024-06-25
NA-135,nadeem abbas,2024-06-25
NA-136,riaz ul haq,2024-06-25
NA-137,syed raza ali gillani,2024-06-25
NA-138,muhammad mueen wattoo,2024-06-25
NA-139,ahmad raza maneka,2024-06-25
NA-140,rana iradat sharif khan,2024-06-25
NA-142,usman ali,2024-06-25
NA-143,rai hassan nawaz khan,2024-06-25
NA-144,muhammad raza hayat harraj,2024-06-25
NA-147,choudhary iftikhar nazir,2024-06-25
NA-148,syed ali qasim gillani,2024-06-25
NA-149,malik muhammad aamir dogar,2024-06-25
NA-150,makhdoom zain hussain qureshi,2024-06-25
NA-151,syed ali musa gilani,2024-06-25
NA-152,syed abdul qadir gilani,2024-06-25
NA-153,rana muhammad qasim noon,2024-06-25
NA-154,rana muhammad faraz noon,2024-06-25
NA-155,khan muhammad saddique khan balooch,2024-06-25
NA-156,ayesha nazir,2024-06-25
NA-157,sajid mehdi,2024-06-25
NA-158,begum tehmina daultana,2024-06-25
NA-161,alam dad laleka,2024-06-25
NA-162,ehsan ul haq bajwa,2024-06-25
NA-163,muhammad ijaz ul haq,2024-06-25
NA-164,mian riaz hussain pirzada,2024-06-25
NA-165,tariq bashir cheema,2024-06-25
NA-166,mk syed sami ul hasan gilani,2024-06-25
NA-167,muhammad usman awaisi,2024-06-25
NA-168,malik muhammad iqbal,2024-06-25
NA-169,syed murtaza mahmud,2024-06-25
NA-171,mumtaz mustafa,2024-06-25
NA-173,syed mustafa mehmood,2024-06-25
NA-174,muhammad azhar khan leghari,2024-06-25
NA-176,nawabzada iftikhar ahmed khan babar,2024-06-25
NA-179,muhammad shabbir ali qureshi,2024-06-25
NA-180,fiaz hussain,2024-06-25
NA-181,umber majeed,2024-06-25
NA-182,awais haider jakhar,2024-06-25
NA-183,khawaja sheraz mehmood,2024-06-25
NA-184,abdul qadir khan,2024-06-25
NA-185,zartaj gul,2024-06-25
NA-186,sardar awais ahmad khan leghari,2024-06-25
NA-187,ammar ahmad khan leghari,2024-06-25
NA-188,hafeez ur rehman khan drishak,2024-06-25
NA-189,shamsher ali mazari,2024-06-25
NA-190,aijaz hussain jakhrani,2024-06-25
NA-191,ali jan mazari,2024-06-25
NA-192,mir shabbir ali bijarani,2024-06-25
NA-193,muhammad shahryar khan mahar,2024-06-25
