Name,Province,Constituency,Party,Oath Taking Date
Chaudhary Farrukh Altaf,Punjab,NA-61(Jhelum-II),PML (N),2024-02-29
Mr.  Mohammad Ilyas Choudhary,Punjab,NA-62(Gujrat-I),PML,2024-02-29
Mr. Hussain Ellahi,Punjab,NA-63(Gujrat-II),PML,2024-02-29
Chaudhry Salik Hussain,Punjab,NA-64(Gujrat-III),PML,2024-02-29
Choudhary Naseer Ahmed Abbas,Punjab,NA-65(Gujrat-IV),PML (N),2024-02-29
Mohammad Ahmed Chattha,Punjab,NA-66(Wazirabad),SIC,2024-02-29
Ms. Aniqa Mehdi,Punjab,NA-67(Hafizabad),SIC,2024-02-29
Haji Imtiaz Ahmad Choudhry,Punjab,NA-68(Mandi Bahauddin-I),SIC,2024-02-29
Mr. Nasir Iqbal Bosal,Punjab,NA-69(Mandi Bahauddin-II),PML (N),2024-02-29
Chaudhry Armghan Subhani,Punjab,NA-70(Sialkot-I),PML (N),2024-02-29
Khawaja Muhammad Asif,Punjab,NA-71(Sialkot-II),PML (N),2024-02-29
Mr. Ali Zahid,Punjab,NA-72(Sialkot-III),PML (N),2024-02-29
Syeda Nosheen Iftikhar,Punjab,NA-73(Sialkot-IV),PML (N),2024-02-29
Mr. Muhammad Aslam Ghumman,Punjab,NA-74(Sialkot-V),IND,2024-02-29
Mr. Anwar-ul-Haq Chaudhary,Punjab,NA-75(Narowal-I),PML (N),2024-02-29
Mr. Ahsan Iqbal Chaudhary,Punjab,NA-76(Narowal-II),PML (N),2024-02-29
Chaudhry Mahmood Bashir Virk,Punjab,NA-77(Gujranwala-I),PML (N),2024-02-29
Mr.  Muhammad Mobeen Arif,Punjab,NA-78(Gujranwala-II),SIC,2024-02-29
Mr. Zulfiqar Ahmad,Punjab,NA-79(Gujranwala-III),PML (N),2024-09-02
Mr. Shahid Usman,Punjab,NA-80(Gujranwala-IV),PML (N),2024-02-29
Mr. Azhar Qayyum Nahra,Punjab,NA-81(Gujranwala-V),PML (N),2024-04-01
Mr. Mukhtar Ahmad Malik,Punjab,NA-82(Sargodha-I),PML (N),2024-02-29
Mr. Usama Ahmed Mela,Punjab,NA-83(Sargodha-II),SIC,2024-02-29
Mr. Shafqat Abbas,Punjab,NA-84(Sargodha-III),SIC,2024-02-29
Mr.  Zulfiqar Ali Bhatti,Punjab,NA-85(Sargodha-IV),PML (N),2024-02-29
Mr.  Muhammad Miqdad Ali Khan,Punjab,NA-86(Sargodha-V),SIC,2024-02-29
Malik Shakir Bashir Awan,Punjab,NA-87(Khushab-I),PML (N),2024-02-29
Mr.  Gul Asghar Khan,Punjab,NA-88(Khushab-II),IPP,2024-02-29
Mr. Muhammad Jamal Ahsan Khan,Punjab,NA-89(Mianwali-I),SIC,2024-02-29
Mr.  Umair Khan Niazi,Punjab,NA-90(Mianwali-II),SIC,2024-02-29
Mr. Sana Ullah Khan Mastikhel,Punjab,NA-91(Bhakkar-I),SIC,2024-02-29
Sardar Rashid Akbar Khan,Punjab,NA-92(Bhakkar-II),PML (N),2024-02-29
Mr.  Ghulam Muhammad,Punjab,NA-93(Chiniot-I),SIC,2024-02-29
Mr.  Qaiser Ahmed Sheikh,Punjab,NA-94(Chiniot-II),PML (N),2024-02-29
Mr. Ali Afzal Sahi,Punjab,NA-95(Faisalabad-I),SIC,2024-02-29
Rai Haider Ali Khan,Punjab,NA-96(Faisalabad-II),SIC,2024-02-29
Mr.  Muhammad Saad Ullah,Punjab,NA-97(Faisalabad-III),SIC,2024-02-29
Ch. Muhammad Shahbaz Babar,Punjab,NA-98(Faisalabad-IV),PML (N),2024-02-29
Mr.  Umar Farooq,Punjab,NA-99(Faisalabad-V),SIC,2024-02-29
Mr. Nisar Ahmed,Punjab,NA-100(Faisalabad-VI),SIC,2024-02-29
Rana Atif,Punjab,NA-101(Faisalabad-VII),SIC,2024-02-29
Mr. Changaze Ahmad Khan,Punjab,NA-102(Faisalabad-VIII),SIC,2024-02-29
Mr.  Muhammad Ali Sarfraz,Punjab,NA-103(Faisalabad-IX),SIC,2024-02-29
Sahibzada Muhammad Hamid Raza,Punjab,NA-104(Faisalabad-X),SIC,2024-02-29
Mr. Usama Hamza,Punjab,NA-105(Toba Tek Singh-I),SIC,2024-02-29
Mr. M Junaid Anwar Chaudhry,Punjab,NA-106(Toba Tek Singh-II),PML (N),2024-02-29
Mr.  Mohammad Riaz Khan,Punjab,NA-107(Toba Tek Singh-III),SIC,2024-02-29
Muhammad Mahbob Sultan,Punjab,NA-108(Jhang-I),SIC,2024-02-29
Mr. Waqas Akram,Punjab,NA-109(Jhang-II),SIC,2024-02-29
Mr. Muhammad Ameer Sultan,Punjab,NA-110(Jhang-III),SIC,2024-02-29
Mr.  Muhammad Arshad Sahi,Punjab,NA-111(Nankana Sahib-I),SIC,2024-02-29
Dr. Shezra Mansab Ali Khan Kharal,Punjab,NA-112(Nankana Sahib-II),PML (N),2024-02-29
Mr.  Ahmad Atteeq Anwer,Punjab,NA-113(Sheikhupura-I),PML (N),2024-02-29
Rana Tanveer Hussain,Punjab,NA-114(Sheikhupura-II),PML (N),2024-02-29
Mr. Khurram Shahzad Virk,Punjab,NA-115(Sheikhupura-III),SIC,2024-02-29
Mr. Khurram Munawar Manj,Punjab,NA-116(Sheikhupura-IV),SIC,2024-02-29
Mr.  Abdul Aleem Khan,Punjab,NA-117(Lahore-I),IPP,2024-02-29
Mr. Muhammad Hamza Shahbaz Sharif,Punjab,NA-118(Lahore-II),PML (N),2024-02-29
Mr. Ali Pervaiz,Punjab,NA-119(Lahore-III),PML (N),2024-04-29
Sardar Ayaz Sadiq,Punjab,NA-120(Lahore-IV),PML (N),2024-02-29
Mr.  Waseem Qadir,Punjab,NA-121(Lahore-V),PML (N),2024-02-29
Sardar Muhammad Latif Khan Khosa,Punjab,NA-122(Lahore-VI),SIC,2024-02-29
Mian Muhammad Shehbaz Sharif,Punjab,NA-123(Lahore-VII),PML (N),2024-02-29
Rana Mubashar Iqbal,Punjab,NA-124(Lahore-VIII),PML (N),2024-02-29
Mr. Muhammad Afzal,Punjab,NA-125(Lahore-IX),PML (N),2024-02-29
Malik Saif-ul-Malook Khokhar,Punjab,NA-126(Lahore-X),PML (N),2024-02-29
Mr. Attaullah Tarar,Punjab,NA-127(Lahore-XI),PML (N),2024-02-29
Mr.  Mohammad Awn Saqlain,Punjab,NA-128(Lahore-XII),IPP,2024-02-29
Mian Muhammad Azhar,Punjab,NA-129(Lahore-XIII),SIC,2024-02-29
Mian Muhammad Nawaz Sharif,Punjab,NA-130(Lahore-XIV),PML (N),2024-02-29
Mr. Saad Waseem Sheikh,Punjab,NA-131(Kasur-I),PML (N),2024-02-29
Mr. Rasheed Ahmad Khan,Punjab,NA-132(Kasur-II),PML (N),2024-04-29
Mr. Azim-ud-Din Zahid,Punjab,NA-133(Kasur-III),SIC,2024-02-29
Rana Muhammad Hayat Khan,Punjab,NA-134(Kasur-IV),PML (N),2024-02-29
Mr.  Nadeem Abbas,Punjab,NA-135(Okara-I),PML (N),2024-02-29
Mr. Riaz Ul Haq,Punjab,NA-136(Okara-II),PML (N),2024-02-29
Syed Raza Ali Gillani,Punjab,NA-137(Okara-III),SIC,2024-02-29
Mr.  Muhammad Mueen Wattoo,Punjab,NA-138(Okara-IV),PML (N),2024-02-29
Mr. Ahmad Raza Maneka,Punjab,NA-139(Pakpattan-I),PML (N),2024-02-29
Rana Iradat Sharif Khan,Punjab,NA-140(Pakpattan-II),PML (N),2024-02-29
Syed Imran Ahmad Shah,Punjab,NA-141(Sahiwal-I),PML (N),2024-02-29
Mr. Usman Ali,Punjab,NA-142(Sahiwal-II),IND,2024-02-29
Rai Hassan Nawaz Khan,Punjab,NA-143(Sahiwal-III),SIC,2024-02-29
Mr. Muhammad Raza Hayat Harraj,Punjab,NA-144(Khanewal-I),PML (N),2024-02-29
Mr. Muhammad Khan Daha,Punjab,NA-145(Khanewal-II),PML (N),2024-02-29
Mr. Zahoor Hussain Qureshi,Punjab,NA-146(Khanewal-III),IND,2024-04-19
Choudhary Iftikhar Nazir,Punjab,NA-147(Khanewal-IV),PML (N),2024-02-29
Syed Ali Qasim Gillani,Punjab,NA-148(Multan-I),PPPP,2024-06-07
Malik Muhammad Aamir Dogar,Punjab,NA-149(Multan-II),SIC,2024-02-29
Makhdoom Zain Hussain Qureshi,Punjab,NA-150(Multan-III),SIC,2024-02-29
Syed Ali Musa Gilani,Punjab,NA-151(Multan-IV),PPPP,2024-02-29
Syed Abdul Kadir Gillani,Punjab,NA-152(Multan-V),PPPP,2024-02-29
Rana Muhammad Qasim Noon,Punjab,NA-153(Multan-VI),PML (N),2024-02-29
Mr. Abdul Rehman Khan Kanju,Punjab,NA-154(Lodhran-I),PML (N),2024-04-01
Mr.  Khan Muhammad Saddique Khan Balooch,Punjab,NA-155(Lodhran-II),PML (N),2024-02-29
Ms. Ayesha Nazir,Punjab,NA-156(Vehari-I),SIC,2024-02-29
Mr. Sajid Mehdi,Punjab,NA-157(Vehari-II),PML (N),2024-02-29
Begum Tehmina Daultana,Punjab,NA-158(Vehari-III),PML (N),2024-02-29
Mr. Aurangzeb Khan Khichi,Punjab,NA-159(Vehari-IV),IND,2024-02-29
Mr. Muhammad Abdul Ghaffar Watto,Punjab,NA-160(Bahawalnagar-I),PML (N),2024-02-29
Mr. Alam Dad Laleka,Punjab,NA-161(Bahawalnagar-II),PML (N),2024-02-29
Mr. Ehsan-ul-Haq Bajwa,Punjab,NA-162(Bahawalnagar-III),PML (N),2024-02-29
Mr. Muhammad Ijaz Ul Haq,Punjab,NA-163(Bahawalnagar-IV),PML (Z),2024-02-29
Mian Riaz Hussain Pirzada,Punjab,NA-164(Bahawalpur-I),PML (N),2024-02-29
Chaudhry Tariq Bashir Cheema,Punjab,NA-165(Bahawalpur-II),PML,2024-02-29
Makhdoom Syed Sami-ul-Hassan Gillani,Punjab,NA-166(Bahawalpur-III),PML (N),2024-02-29
Mr. Muhammad Usman Awaisi,Punjab,NA-167 (Bahawalpur-IV),PML (N),2024-02-29
Malik Muhammad Iqbal,Punjab,NA-168 (Bahawalpur-V),PML (N),2024-02-29
Syed Murtaza Mahmud,Punjab,NA-169 (Rahim Yar Khan-I),PPPP,2024-02-29
Mian Ghous Muhammad,Punjab,NA-170 (Rahim Yar Khan-II),SIC,2024-02-29
Makhdoom Tahir Rashid Ud Din,Punjab,NA-171 (Rahim Yar Khan-III),PPPP,2024-09-14
Mr. Javaid Iqbal Waraich,Punjab,NA-172 (Rahim Yar Khan-IV),SIC,2024-02-29
Syed Mustafa Mehmood,Punjab,NA-173 (Rahim Yar Khan-V),PPPP,2024-02-29
Mr.  Muhammad Azhar Khan Leghari,Punjab,NA-174 (Rahim Yar Khan-VI),PML (N),2024-02-29
Mr. Jamshaid Ahmad,Punjab,NA-175 (Muzaffargarh-I),SIC,2024-02-29
Nawabzada Iftikhar Ahmed Khan Babar,Punjab,NA-176 (Muzaffargarh-II),PPPP,2024-02-29
Mr.  Muhammad Moazzam Ali Khan,Punjab,NA-177 (Muzaffargarh-III),SIC,2024-02-29
Mr.  Aamir Talal Khan,Punjab,NA-178 (Muzaffargarh-IV),PML (N),2024-02-29
Mr.  Muhammad Shabbir Ali Qureshi,Punjab,NA-179 (Kot Addu-I),SIC,2024-02-29
Mr. Fiaz Hussain,Punjab,NA-180 (Kot Addu-II),SIC,2024-02-29
Ms.  Umber Majeed,Punjab,NA-181 (Layyah-I),SIC,2024-02-29
Mr. Awais Haider Jakhar,Punjab,NA-182 (Layyah-II),SIC,2024-02-29
Khawaja Sheraz Mehmood,Punjab,NA-183 (Taunsa),SIC,2024-02-29
Mr. Abdul Qadir Khan,Punjab,NA-184 (D.G.Khan-I),PML (N),2024-02-29
Ms. Zartaj Gul,Punjab,NA-185 (D.G.Khan-II),SIC,2024-02-29
Sardar Awais Ahmad Khan Leghari,Punjab,NA-186 (D.G.Khan-III),PML (N),2024-02-29
Mr. Ammar Ahmad Khan Leghari,Punjab,NA-187 (Rajanpur-I),PML (N),2024-02-29
Mr. Hafeez-ur-Rehman Khan Drishak,Punjab,NA-188 (Rajanpur-II),PML (N),2024-02-29
Mr. Shamsher Ali Mazari,Punjab,NA-189 (Rajanpur-III),PML (N),2024-02-29
Mr. Aijaz Hussain Jakhrani,Sindh,NA-190 (Jacobabad),PPPP,2024-02-29
Mr. Ali Jan Mazari,Sindh,NA-191 (Jacobabad-cum-Kashmore),PPPP,2024-02-29
