Name,Province,Constituency,Party,Oath Taking Date
Ms. Farah Naz Akbar,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Shahnaz Saleem Malik,Punjab,Reserved for Women,PML (N),2024-02-29
Ms. Hina Rabbani Khar,Punjab,Reserved for Women,PPPP,2024-02-29
Ms. Munaza Hassan,Punjab,Reserved for Women,IPP,2024-02-29
Ms. Farakh Khan,Punjab,Reserved for Women,PML,2024-02-29
Ms. Zainab Mehmood Baloch,Punjab,Reserved for Women,PML (N),2024-06-07
Ms. Sehar Kamran,Sindh,Reserved for Women,PPPP,2024-02-29
Ms.  Sharmila Sahiba Faruqui Hashaam,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Shagufta Jumani,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Shahida Rehmani,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Syeda Shehla Raza,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Mahtab Akbar Rashdi,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Mussarat Rafique Mahesar,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Mahreen Razzaq Bhutto,Sindh,Reserved for Women,PPPP,2024-02-29
Dr. Shazia Sobia Aslam Soomro,Sindh,Reserved for Women,PPPP,2024-02-29
Ms. Naz Baloch,Sindh,Reserved for Women,PPPP,2024-02-29
Ms.  Nikhat Shakeel Khan,Sindh,Reserved for Women,MQM,2024-02-29
Ms. Sabheen Ghoury,Sindh,Reserved for Women,MQM,2024-02-29
Ms.  Rana Ansar,Sindh,Reserved for Women,MQM,2024-02-29
Ms. Sofia Saeed Shah,Sindh,Reserved for Women,MQM,2024-04-01
Ms.  Izbal Zehri,Balochistan,Reserved for Women,PPPP,2024-02-29
Ms. Kiran Haider,Balochistan,Reserved for Women,PML (N),2024-02-29
Ms. Akhtar Bibi,Balochistan,Reserved for Women,PML (N),2024-02-29
Ms. Aliya Kamran,Balochistan,Reserved for Women,JUI (P),2024-02-29
Kesoo Mal Kheal Das,Reserved for Minorities,Reserved for Minorities,PML (N),2024-02-29
Dr. Darshan,Reserved for Minorities,Reserved for Minorities,PML (N),2024-02-29
Nelson Azeem,Reserved for Minorities,Reserved for Minorities,PML (N),2024-02-29
Isphanyar M. Bhandara,Reserved for Minorities,Reserved for Minorities,PML (N),2024-02-29
Ramesh Lal,Reserved for Minorities,Reserved for Minorities,PPPP,2024-02-29
Naveed Aamir,Reserved for Minorities,Reserved for Minorities,PPPP,2024-02-29
Mohan Manjiani,Reserved for Minorities,Reserved for Minorities,MQM,2024-02-29
