Name,Province,Constituency,Party,Oath Taking Date,City,Constituency Type,Country
syeda shehla raza,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
mahtab akbar rashdi,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
mussarat rafique mahesar,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
mahreen razzaq bhutto,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
shazia sobia aslam soomro,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
naz baloch,Sindh,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
nikhat shakeel khan,Sindh,Reserved Seat,MQM,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
sabheen ghoury,Sindh,Reserved Seat,MQM,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
rana ansar,Sindh,Reserved Seat,MQM,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
sofia saeed shah,Sindh,Reserved Seat,MQM,2024-04-01,Reserved Seat,Reserved for Women,Pakistan
izbal zehri,Balochistan,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Women,Pakistan
kiran haider,Balochistan,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
akhtar bibi,Balochistan,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
aliya kamran,Balochistan,Reserved Seat,JUI (P),2024-02-29,Reserved Seat,Reserved for Women,Pakistan
kesoo mal kheal das,Reserved for Minorities,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
darshan,Reserved for Minorities,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
nelson azeem,Reserved for Minorities,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
isphanyar m. bhandara,Reserved for Minorities,Reserved Seat,PML (N),2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
ramesh lal,Reserved for Minorities,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
naveed aamir,Reserved for Minorities,Reserved Seat,PPPP,2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
mohan manjiani,Reserved for Minorities,Reserved Seat,MQM,2024-02-29,Reserved Seat,Reserved for Minorities,Pakistan
